CODE,YEAR,DISEASE_CODE,DENOMINATOR,INCIDENCE_RATE
MDG,2003,MUMPS,"per 1,000,000 total population",
MDG,2003,NTETANUS,"per 1,000 live births",0.0
MDG,2003,PERTUSSIS,"per 1,000,000 total population",443.8
MDG,2003,POLIO,"per 1,000,000 <15 population",0.0
MDG,2003,RUBELLA,"per 1,000,000 total population",
MDG,2003,TTETANUS,"per 1,000,000 total population",3.8
MDG,2003,YFEVER,"per 1,000,000 total population",
MDG,2002,CRS,"per 10,000 live births",
MDG,2002,DIPHTHERIA,"per 1,000,000 total population",
MDG,2002,MEASLES,"per 1,000,000 total population",615.1
MDG,2002,MUMPS,"per 1,000,000 total population",
MDG,2002,NTETANUS,"per 1,000 live births",0.0
MDG,2002,PERTUSSIS,"per 1,000,000 total population",138.3
MDG,2002,POLIO,"per 1,000,000 <15 population",0.5
MDG,2002,RUBELLA,"per 1,000,000 total population",
MDG,2002,TTETANUS,"per 1,000,000 total population",1.7
MDG,2002,YFEVER,"per 1,000,000 total population",0.0
MDG,2001,CRS,"per 10,000 live births",
MDG,2001,DIPHTHERIA,"per 1,000,000 total population",0.7
MDG,2001,MEASLES,"per 1,000,000 total population",549.3
MDG,2001,MUMPS,"per 1,000,000 total population",
MDG,2001,NTETANUS,"per 1,000 live births",0.0
MDG,2001,PERTUSSIS,"per 1,000,000 total population",6.1
MDG,2001,POLIO,"per 1,000,000 <15 population",0.1
MDG,2001,RUBELLA,"per 1,000,000 total population",
MDG,2001,TTETANUS,"per 1,000,000 total population",4.5
MDG,2001,YFEVER,"per 1,000,000 total population",0.0
MDG,2000,CRS,"per 10,000 live births",
MDG,2000,DIPHTHERIA,"per 1,000,000 total population",0.7
MDG,2000,MEASLES,"per 1,000,000 total population",2134.6
MDG,2000,MUMPS,"per 1,000,000 total population",
MDG,2000,NTETANUS,"per 1,000 live births",0.0
MDG,2000,PERTUSSIS,"per 1,000,000 total population",234.9
MDG,2000,POLIO,"per 1,000,000 <15 population",0.0
MDG,2000,RUBELLA,"per 1,000,000 total population",
MDG,2000,TTETANUS,"per 1,000,000 total population",3.3
MDG,2000,YFEVER,"per 1,000,000 total population",
MDG,1999,CRS,"per 10,000 live births",
MDG,1999,DIPHTHERIA,"per 1,000,000 total population",
MDG,1999,MEASLES,"per 1,000,000 total population",2199.7
MDG,1999,MUMPS,"per 1,000,000 total population",
MDG,1999,NTETANUS,"per 1,000 live births",0.0
MDG,1999,PERTUSSIS,"per 1,000,000 total population",202.7
MDG,1999,POLIO,"per 1,000,000 <15 population",
MDG,1999,RUBELLA,"per 1,000,000 total population",
MDG,1999,TTETANUS,"per 1,000,000 total population",1.6
MDG,1999,YFEVER,"per 1,000,000 total population",0.0
MDG,1998,DIPHTHERIA,"per 1,000,000 total population",7.2
MDG,1998,MEASLES,"per 1,000,000 total population",1001.3
MDG,1998,NTETANUS,"per 1,000 live births",0.1
MDG,1998,PERTUSSIS,"per 1,000,000 total population",75.4
MDG,1998,POLIO,"per 1,000,000 <15 population",
MDG,1998,TTETANUS,"per 1,000,000 total population",3.2
MDG,1998,YFEVER,"per 1,000,000 total population",
MDG,1997,DIPHTHERIA,"per 1,000,000 total population",3.4
MDG,1997,MEASLES,"per 1,000,000 total population",924.9
MDG,1997,NTETANUS,"per 1,000 live births",0.1
MDG,1997,PERTUSSIS,"per 1,000,000 total population",53.8
MDG,1997,POLIO,"per 1,000,000 <15 population",
MDG,1997,TTETANUS,"per 1,000,000 total population",5.7
MDG,1997,YFEVER,"per 1,000,000 total population",0.0
MDG,1996,DIPHTHERIA,"per 1,000,000 total population",10.6
MDG,1996,MEASLES,"per 1,000,000 total population",410.8
MDG,1996,NTETANUS,"per 1,000 live births",0.1
MDG,1996,PERTUSSIS,"per 1,000,000 total population",87.0
MDG,1996,POLIO,"per 1,000,000 <15 population",
MDG,1996,TTETANUS,"per 1,000,000 total population",5.3
MDG,1996,YFEVER,"per 1,000,000 total population",
MDG,1995,DIPHTHERIA,"per 1,000,000 total population",12.7
MDG,1995,MEASLES,"per 1,000,000 total population",834.9
MDG,1995,NTETANUS,"per 1,000 live births",0.0
MDG,1995,PERTUSSIS,"per 1,000,000 total population",111.4
MDG,1995,POLIO,"per 1,000,000 <15 population",
MDG,1995,TTETANUS,"per 1,000,000 total population",6.5
MDG,1995,YFEVER,"per 1,000,000 total population",
MDG,1994,DIPHTHERIA,"per 1,000,000 total population",
MDG,1994,MEASLES,"per 1,000,000 total population",1040.4
MDG,1994,NTETANUS,"per 1,000 live births",0.0
MDG,1994,PERTUSSIS,"per 1,000,000 total population",
