CODE,YEAR,DISEASE_CODE,CASES
HKG,1995,DIPHTHERIA,0.0
HKG,1995,MEASLES,33.0
HKG,1995,NTETANUS,0.0
HKG,1995,PERTUSSIS,8.0
HKG,1995,POLIO,0.0
HKG,1995,TTETANUS,23.0
HKG,1995,YFEVER,
HKG,1994,DIPHTHERIA,0.0
HKG,1994,MEASLES,210.0
HKG,1994,NTETANUS,
HKG,1994,PERTUSSIS,4.0
HKG,1994,POLIO,
HKG,1994,TTETANUS,61.0
HKG,1994,YFEVER,
HKG,1993,DIPHTHERIA,0.0
HKG,1993,MEASLES,29.0
HKG,1993,NTETANUS,0.0
HKG,1993,PERTUSSIS,5.0
HKG,1993,POLIO,0.0
HKG,1993,TTETANUS,38.0
HKG,1993,YFEVER,
HKG,1992,DIPHTHERIA,0.0
HKG,1992,MEASLES,329.0
HKG,1992,NTETANUS,0.0
HKG,1992,PERTUSSIS,5.0
HKG,1992,POLIO,0.0
HKG,1992,TTETANUS,14.0
HKG,1992,YFEVER,
HKG,1991,DIPHTHERIA,0.0
HKG,1991,MEASLES,278.0
HKG,1991,NTETANUS,0.0
HKG,1991,PERTUSSIS,0.0
HKG,1991,POLIO,0.0
HKG,1991,TTETANUS,8.0
HKG,1991,YFEVER,
HKG,1990,DIPHTHERIA,0.0
HKG,1990,MEASLES,48.0
HKG,1990,NTETANUS,0.0
HKG,1990,PERTUSSIS,8.0
HKG,1990,POLIO,0.0
HKG,1990,TTETANUS,4.0
HKG,1990,YFEVER,
HKG,1989,DIPHTHERIA,0.0
HKG,1989,MEASLES,139.0
HKG,1989,NTETANUS,0.0
HKG,1989,PERTUSSIS,4.0
HKG,1989,POLIO,0.0
HKG,1989,TTETANUS,5.0
HKG,1989,YFEVER,
HKG,1988,DIPHTHERIA,0.0
HKG,1988,MEASLES,3162.0
HKG,1988,NTETANUS,0.0
HKG,1988,PERTUSSIS,8.0
HKG,1988,POLIO,0.0
HKG,1988,TTETANUS,10.0
HKG,1988,YFEVER,
HKG,1987,DIPHTHERIA,0.0
HKG,1987,MEASLES,194.0
HKG,1987,NTETANUS,1.0
HKG,1987,PERTUSSIS,0.0
HKG,1987,POLIO,0.0
HKG,1987,TTETANUS,8.0
HKG,1987,YFEVER,
HKG,1986,DIPHTHERIA,0.0
HKG,1986,MEASLES,215.0
HKG,1986,NTETANUS,1.0
HKG,1986,PERTUSSIS,1.0
HKG,1986,POLIO,0.0
HKG,1986,TTETANUS,33.0
HKG,1986,YFEVER,
HKG,1985,DIPHTHERIA,0.0
HKG,1985,MEASLES,280.0
HKG,1985,NTETANUS,0.0
HKG,1985,PERTUSSIS,21.0
HKG,1985,POLIO,1.0
HKG,1985,TTETANUS,31.0
HKG,1985,YFEVER,
HKG,1984,DIPHTHERIA,0.0
HKG,1984,MEASLES,678.0
HKG,1984,NTETANUS,0.0
HKG,1984,PERTUSSIS,18.0
HKG,1984,POLIO,0.0
HKG,1984,TTETANUS,46.0
HKG,1984,YFEVER,
HKG,1983,DIPHTHERIA,0.0
HKG,1983,MEASLES,888.0
HKG,1983,NTETANUS,0.0
HKG,1983,PERTUSSIS,0.0
HKG,1983,POLIO,1.0
HKG,1983,TTETANUS,18.0
HKG,1983,YFEVER,
HKG,1982,DIPHTHERIA,1.0
HKG,1982,MEASLES,1863.0
HKG,1982,NTETANUS,1.0
HKG,1982,PERTUSSIS,1.0
HKG,1982,POLIO,0.0
HKG,1982,TTETANUS,22.0
HKG,1982,YFEVER,
HKG,1981,DIPHTHERIA,0.0
HKG,1981,MEASLES,249.0
HKG,1981,NTETANUS,2.0
HKG,1981,PERTUSSIS,2.0
HKG,1981,POLIO,3.0
HKG,1981,TTETANUS,14.0
HKG,1981,YFEVER,
HKG,1980,DIPHTHERIA,2.0
HKG,1980,MEASLES,1669.0
HKG,1980,NTETANUS,0.0
HKG,1980,PERTUSSIS,12.0
HKG,1980,POLIO,2.0
HKG,1980,TTETANUS,15.0
HKG,1980,YFEVER,
HND,2023,CRS,0.0
HND,2023,DIPHTHERIA,0.0
HND,2023,INVASIVE_MENING,0.0
HND,2023,MEASLES,
HND,2023,MUMPS,259.0
HND,2023,NTETANUS,1.0
HND,2023,PERTUSSIS,2.0
HND,2023,POLIO,0.0
HND,2023,RUBELLA,0.0
HND,2023,TTETANUS,9.0
HND,2023,TYPHOID,13.0
HND,2023,YFEVER,0.0
HND,2022,CRS,0.0
HND,2022,DIPHTHERIA,0.0
HND,2022,INVASIVE_MENING,
HND,2022,MEASLES,
HND,2022,MUMPS,292.0
HND,2022,NTETANUS,2.0
HND,2022,PERTUSSIS,0.0
HND,2022,POLIO,0.0
HND,2022,RUBELLA,
HND,2022,TTETANUS,16.0
HND,2022,TYPHOID,13.0
HND,2022,YFEVER,0.0
HND,2021,CRS,0.0
HND,2021,DIPHTHERIA,0.0
HND,2021,INVASIVE_MENING,0.0
HND,2021,MEASLES,0.0
HND,2021,MUMPS,248.0
HND,2021,NTETANUS,1.0
HND,2021,PERTUSSIS,8.0
HND,2021,POLIO,0.0
HND,2021,RUBELLA,0.0
HND,2021,TTETANUS,12.0
HND,2021,TYPHOID,22.0
HND,2021,YFEVER,0.0
HND,2020,CRS,0.0
HND,2020,DIPHTHERIA,0.0
HND,2020,INVASIVE_MENING,0.0
HND,2020,MEASLES,0.0
HND,2020,MUMPS,547.0
HND,2020,NTETANUS,2.0
HND,2020,PERTUSSIS,11.0
HND,2020,POLIO,0.0
HND,2020,RUBELLA,0.0
HND,2020,TTETANUS,10.0
HND,2020,TYPHOID,1.0
HND,2020,YFEVER,0.0
HND,2019,CRS,0.0
HND,2019,DIPHTHERIA,0.0
HND,2019,JAPENC,
HND,2019,MEASLES,0.0
HND,2019,MUMPS,10083.0
HND,2019,NTETANUS,2.0
HND,2019,PERTUSSIS,78.0
HND,2019,POLIO,0.0
HND,2019,RUBELLA,0.0
HND,2019,TTETANUS,15.0
HND,2019,TYPHOID,41.0
HND,2019,YFEVER,0.0
HND,2018,CRS,0.0
HND,2018,DIPHTHERIA,0.0
HND,2018,JAPENC,
HND,2018,MEASLES,0.0
HND,2018,MUMPS,14761.0
HND,2018,NTETANUS,1.0
HND,2018,PERTUSSIS,74.0
HND,2018,POLIO,0.0
HND,2018,RUBELLA,0.0
HND,2018,TTETANUS,14.0
HND,2018,TYPHOID,
HND,2018,YFEVER,
HND,2017,CRS,0.0
HND,2017,DIPHTHERIA,0.0
HND,2017,MEASLES,0.0
HND,2017,MUMPS,115.0
HND,2017,NTETANUS,0.0
HND,2017,PERTUSSIS,266.0
HND,2017,POLIO,0.0
HND,2017,RUBELLA,0.0
HND,2017,TTETANUS,27.0
HND,2017,YFEVER,0.0
HND,2016,CRS,0.0
HND,2016,DIPHTHERIA,0.0
HND,2016,MEASLES,0.0
HND,2016,MUMPS,138.0
HND,2016,NTETANUS,0.0
HND,2016,PERTUSSIS,151.0
HND,2016,POLIO,0.0
HND,2016,RUBELLA,0.0
HND,2016,TTETANUS,14.0
HND,2016,YFEVER,0.0
HND,2015,CRS,0.0
HND,2015,DIPHTHERIA,0.0
HND,2015,JAPENC,
HND,2015,MEASLES,0.0
HND,2015,MUMPS,108.0
HND,2015,NTETANUS,2.0
HND,2015,PERTUSSIS,30.0
HND,2015,POLIO,0.0
